
=== C Reference Spectrogram Dump (DSP only) ===
C_REF_BEGIN rows=49 cols=40
C_REF 0 1.441406250 0x3fb88000
C_REF 1 2.085937500 0x40058000
C_REF 2 1.937500000 0x3ff80000
C_REF 3 1.203125000 0x3f9a0000
C_REF 4 1.730468750 0x3fdd8000
C_REF 5 2.015625000 0x40010000
C_REF 6 2.429687500 0x401b8000
C_REF 7 2.039062500 0x40028000
C_REF 8 1.964843750 0x3ffb8000
C_REF 9 2.109375000 0x40070000
C_REF 10 2.109375000 0x40070000
C_REF 11 1.964843750 0x3ffb8000
C_REF 12 1.847656250 0x3fec8000
C_REF 13 2.242187500 0x400f8000
C_REF 14 3.039062500 0x40428000
C_REF 15 2.460937500 0x401d8000
C_REF 16 2.359375000 0x40170000
C_REF 17 2.796875000 0x40330000
C_REF 18 2.828125000 0x40350000
C_REF 19 1.523437500 0x3fc30000
C_REF 20 1.984375000 0x3ffe0000
C_REF 21 2.812500000 0x40340000
C_REF 22 2.843750000 0x40360000
C_REF 23 3.250000000 0x40500000
C_REF 24 2.734375000 0x402f0000
C_REF 25 2.617187500 0x40278000
C_REF 26 2.835937500 0x40358000
C_REF 27 2.820312500 0x40348000
C_REF 28 2.828125000 0x40350000
C_REF 29 3.070312500 0x40448000
C_REF 30 2.851562500 0x40368000
C_REF 31 2.968750000 0x403e0000
C_REF 32 3.335937500 0x40558000
C_REF 33 3.078125000 0x40450000
C_REF 34 3.117187500 0x40478000
C_REF 35 3.804687500 0x40738000
C_REF 36 3.234375000 0x404f0000
C_REF 37 3.601562500 0x40668000
C_REF 38 3.250000000 0x40500000
C_REF 39 3.484375000 0x405f0000
C_REF 40 0.759765625 0x3f428000
C_REF 41 1.320312500 0x3fa90000
C_REF 42 1.500000000 0x3fc00000
C_REF 43 1.191406250 0x3f988000
C_REF 44 2.093750000 0x40060000
C_REF 45 2.484375000 0x401f0000
C_REF 46 2.398437500 0x40198000
C_REF 47 2.203125000 0x400d0000
C_REF 48 1.875000000 0x3ff00000
C_REF 49 2.351562500 0x40168000
C_REF 50 2.671875000 0x402b0000
C_REF 51 2.718750000 0x402e0000
C_REF 52 2.179687500 0x400b8000
C_REF 53 1.695312500 0x3fd90000
C_REF 54 1.863281250 0x3fee8000
C_REF 55 2.492187500 0x401f8000
C_REF 56 2.703125000 0x402d0000
C_REF 57 2.296875000 0x40130000
C_REF 58 2.078125000 0x40050000
C_REF 59 2.671875000 0x402b0000
C_REF 60 2.382812500 0x40188000
C_REF 61 2.312500000 0x40140000
C_REF 62 3.062500000 0x40440000
C_REF 63 3.187500000 0x404c0000
C_REF 64 2.835937500 0x40358000
C_REF 65 3.156250000 0x404a0000
C_REF 66 3.031250000 0x40420000
C_REF 67 3.085937500 0x40458000
C_REF 68 3.101562500 0x40468000
C_REF 69 3.015625000 0x40410000
C_REF 70 2.945312500 0x403c8000
C_REF 71 3.070312500 0x40448000
C_REF 72 3.812500000 0x40740000
C_REF 73 3.656250000 0x406a0000
C_REF 74 3.726562500 0x406e8000
C_REF 75 3.742187500 0x406f8000
C_REF 76 3.781250000 0x40720000
C_REF 77 3.750000000 0x40700000
C_REF 78 3.492187500 0x405f8000
C_REF 79 3.898437500 0x40798000
C_REF 80 1.617187500 0x3fcf0000
C_REF 81 1.300781250 0x3fa68000
C_REF 82 2.070312500 0x40048000
C_REF 83 1.750000000 0x3fe00000
C_REF 84 2.242187500 0x400f8000
C_REF 85 2.125000000 0x40080000
C_REF 86 1.906250000 0x3ff40000
C_REF 87 1.933593750 0x3ff78000
C_REF 88 2.343750000 0x40160000
C_REF 89 2.312500000 0x40140000
C_REF 90 2.335937500 0x40158000
C_REF 91 2.281250000 0x40120000
C_REF 92 1.457031250 0x3fba8000
C_REF 93 1.761718750 0x3fe18000
C_REF 94 2.328125000 0x40150000
C_REF 95 2.117187500 0x40078000
C_REF 96 2.859375000 0x40370000
C_REF 97 2.406250000 0x401a0000
C_REF 98 1.171875000 0x3f960000
C_REF 99 1.046875000 0x3f860000
C_REF 100 2.421875000 0x401b0000
C_REF 101 2.843750000 0x40360000
C_REF 102 3.007812500 0x40408000
C_REF 103 3.039062500 0x40428000
C_REF 104 2.734375000 0x402f0000
C_REF 105 2.539062500 0x40228000
C_REF 106 3.390625000 0x40590000
C_REF 107 3.359375000 0x40570000
C_REF 108 3.296875000 0x40530000
C_REF 109 3.226562500 0x404e8000
C_REF 110 3.351562500 0x40568000
C_REF 111 3.281250000 0x40520000
